Date,UBS,HPQ,UNH,JNJ,JPM,HD
2019-10-23,10.132928848266602,14.771929740905762,232.03688049316406,114.97975158691406,109.55082702636719,210.5142059326172
2019-10-24,10.176454544067383,14.771929740905762,228.9561309814453,112.85540771484375,109.47201538085938,209.8144989013672
2019-10-25,10.24609661102295,14.953126907348633,229.3306884765625,113.6077880859375,110.34757995605469,210.25411987304688
2019-10-28,10.402791976928711,15.211977005004883,231.33457946777344,114.34245300292969,110.76786041259766,212.42494201660156
2019-10-29,10.515960693359375,15.186097145080566,236.2412109375,114.28933715820312,110.69781494140625,210.03875732421875
2019-10-30,10.30703353881836,15.203352928161621,238.591552734375,117.5820541381836,110.08490753173828,211.922607421875
2019-10-31,10.24609661102295,14.987643241882324,236.6251678466797,116.87396240234375,109.3757095336914,210.43348693847656
2019-11-01,10.411497116088867,15.341411590576172,236.16632080078125,116.13040924072266,111.89735412597656,212.90939331054688
2019-11-04,10.733591079711914,15.531233787536621,235.26739501953125,115.27184295654297,112.79044342041016,210.7384796142578
2019-11-05,10.768412590026855,15.876374244689941,234.37783813476562,115.44003295898438,113.03558349609375,208.2984619140625
2019-11-06,10.768412590026855,16.885900497436523,234.58384704589844,115.91801452636719,113.21070098876953,209.922119140625
2019-11-07,10.898992538452148,16.730592727661133,240.14601135253906,116.33401489257812,113.8235855102539,208.9622802734375
2019-11-08,10.80323314666748,16.842761993408203,240.62351989746094,117.72371673583984,114.15631103515625,208.87257385253906
2019-11-11,10.794528007507324,16.94630241394043,237.9267578125,116.82083892822266,113.75354766845703,207.93963623046875
2019-11-12,10.733591079711914,16.851388931274414,239.012939453125,116.26322174072266,113.08811950683594,209.123779296875
2019-11-13,10.576895713806152,16.851388931274414,237.43980407714844,116.19237518310547,112.49272918701172,210.63084411621094
2019-11-14,10.576895713806152,17.369094848632812,239.55609130859375,115.91801452636719,112.59780883789062,212.20065307617188
2019-11-15,10.629127502441406,17.412240982055664,252.26292419433594,119.44084167480469,113.41206359863281,212.86451721191406
2019-11-18,10.629127502441406,17.26555633544922,255.56829833984375,119.3434829711914,114.3664321899414,214.2639617919922
2019-11-19,10.568191528320312,17.351842880249023,256.78564453125,119.33465576171875,114.33141326904297,202.61106872558594
2019-11-20,10.48984432220459,16.998075485229492,258.03094482421875,120.32600402832031,113.49962615966797,198.16162109375
2019-11-21,10.507253646850586,16.95492935180664,258.9579162597656,120.7685546875,113.76227569580078,196.04454040527344
2019-11-22,10.637833595275879,17.20516014099121,259.2294921875,122.21134948730469,114.51528930664062,195.58702087402344
2019-11-25,10.7597074508667,17.386354446411133,264.6886901855469,122.26482391357422,115.128173828125,195.91896057128906
2019-11-26,10.620423316955566,17.308696746826172,263.49945068359375,122.25592803955078,115.28577423095703,198.0360107421875
2019-11-27,10.67265510559082,17.075735092163086,262.81591796875,122.7728500366211,115.62725067138672,200.04547119140625
2019-11-29,10.576895713806152,17.325956344604492,262.0668029785156,122.5411148071289,115.36456298828125,197.811767578125
2019-12-02,10.498549461364746,17.110246658325195,261.8701477050781,122.4252700805664,115.11067199707031,195.21923828125
2019-12-03,10.333148956298828,16.937673568725586,259.2856750488281,122.24702453613281,113.6309585571289,191.9718780517578
2019-12-04,10.402791976928711,17.291440963745117,261.5518798828125,124.22563934326172,115.87240600585938,193.2899932861328
2019-12-05,10.437612533569336,17.533039093017578,264.06121826171875,124.38604736328125,116.50283813476562,192.29689025878906
2019-12-06,10.472433090209961,17.6883544921875,263.3751220703125,125.11688232421875,118.23641204833984,193.45248413085938
2019-12-09,10.463729858398438,17.662466049194336,260.8841857910156,125.22383880615234,117.68484497070312,195.48374938964844
2019-12-10,10.394085884094238,17.580656051635742,262.7452697753906,124.76927185058594,117.76364135742188,194.91502380371094
2019-12-11,10.36797046661377,17.467514038085938,263.66650390625,125.65167236328125,117.48344421386719,191.3940887451172
2019-12-12,10.585601806640625,17.78083038330078,266.5898742675781,125.9725341796875,120.84563446044922,191.43020629882812
2019-12-13,10.68135929107666,17.711206436157227,268.34759521484375,126.00818634033203,119.78618621826172,193.2718963623047
2019-12-16,10.838054656982422,17.859161376953125,274.50457763671875,126.37358856201172,120.2502212524414,194.58102416992188
2019-12-17,10.933812141418457,17.72861099243164,273.0382385253906,127.95113372802734,120.9856948852539,196.55812072753906
2019-12-18,10.829349517822266,17.693798065185547,275.32232666015625,127.62134552001953,120.86316680908203,196.8109130859375
2019-12-19,10.838054656982422,17.667688369750977,276.93914794921875,129.54653930664062,120.25898742675781,198.8151397705078
2019-12-20,10.785822868347168,17.89397430419922,275.03094482421875,130.1793212890625,120.16268920898438,199.6908416748047
2019-12-23,10.82064437866211,17.89397430419922,277.3809509277344,130.51800537109375,120.12767791748047,197.90328979492188
2019-12-24,10.811939239501953,17.92008399963379,276.86395263671875,130.06346130371094,120.46038055419922,199.22137451171875
2019-12-26,10.86417007446289,18.00712013244629,277.9073181152344,129.9743194580078,121.73870086669922,199.3568115234375
2019-12-27,10.881580352783203,17.86786460876465,278.2080383300781,129.90304565429688,121.82625579833984,198.5894317626953
2019-12-30,10.95122241973877,17.833051681518555,276.21539306640625,129.501953125,121.3797378540039,196.18795776367188
2019-12-31,10.95122241973877,17.88527488708496,276.3375549316406,130.00997924804688,122.05390167236328,197.1539764404297
2020-01-02,11.247201919555664,18.094148635864258,274.9463806152344,130.09910583496094,123.53361511230469,198.30955505371094
2020-01-03,11.064391136169434,17.86786460876465,272.16400146484375,128.59286499023438,121.9034194946289,197.6505126953125
2020-01-06,11.038274765014648,17.937488555908203,274.05328369140625,128.43243408203125,121.80647277832031,198.58041381835938
2020-01-07,11.264612197875977,17.981008529663086,272.3990478515625,129.21673583984375,119.73567962646484,197.28036499023438
2020-01-08,11.412601470947266,18.21599578857422,278.1423034667969,129.1989288330078,120.66978454589844,200.23252868652344
2020-01-09,11.438718795776367,18.485797882080078,276.5631408691406,129.58218383789062,121.11033630371094,203.30206298828125
