Date,NVS,SNY,CSCO,KO,PEP,TWX
2019-07-11,74.25780487060547,36.49605178833008,49.45574188232422,44.89891815185547,117.53660583496094,
2019-07-12,72.49055480957031,35.56555938720703,50.016761779785156,44.96792984008789,116.60053253173828,
2019-07-15,73.37828826904297,35.884342193603516,50.10306930541992,44.97655487060547,117.36163330078125,
2019-07-16,73.28787231445312,36.039424896240234,49.73194122314453,44.985191345214844,117.05543518066406,
2019-07-17,74.16738891601562,35.81541442871094,49.378074645996094,45.01969909667969,116.16310119628906,
2019-07-18,77.47998046875,36.14280700683594,49.835506439208984,44.89028549194336,116.2505874633789,
2019-07-19,76.90458679199219,36.14280700683594,49.50753402709961,44.338104248046875,113.80974578857422,
2019-07-22,77.29914093017578,36.340972900390625,49.826881408691406,44.19143295288086,113.9759750366211,
2019-07-23,77.00322723388672,36.71144485473633,49.80961227416992,46.874664306640625,114.37838745117188,
2019-07-24,76.70731353759766,36.530517578125,49.39533233642578,46.400146484375,113.03987884521484,
2019-07-25,75.61407470703125,36.211734771728516,48.868839263916016,45.78757095336914,112.847412109375,
2019-07-26,76.60045623779297,36.49605178833008,48.79115295410156,46.73662185668945,114.79832458496094,
2019-07-29,75.72915649414062,37.07330322265625,49.136390686035156,46.58133316040039,115.06951141357422,
2019-07-30,75.32637786865234,36.24620056152344,48.73937225341797,46.34838104248047,114.15093231201172,
2019-07-31,75.2770767211914,35.92742156982422,47.81585693359375,45.40794372558594,111.81507110595703,
2019-08-01,75.87710571289062,36.0566520690918,47.807220458984375,44.89028549194336,111.2289047241211,
2019-08-02,75.77025604248047,35.59141159057617,45.96017837524414,45.149112701416016,111.91128540039062,
2019-08-05,74.57015228271484,34.75568389892578,44.337554931640625,44.56242370605469,108.83180236816406,
2019-08-06,72.51520538330078,35.065853118896484,45.399169921875,45.097347259521484,110.62525939941406,
2019-08-07,72.99195861816406,35.16062545776367,45.17476272583008,45.882469177246094,111.78882598876953,
2019-08-08,74.9893798828125,35.961883544921875,45.88249969482422,46.32249069213867,113.26732635498047,
2019-08-09,74.65235900878906,35.81541442871094,45.25243377685547,46.089542388916016,112.50621032714844,
2019-08-12,74.88251495361328,35.67756271362305,44.484275817871094,45.89973068237305,112.28749084472656,
2019-08-13,74.89895629882812,36.27204132080078,45.50273895263672,46.1585693359375,113.66974639892578,
2019-08-14,73.16458129882812,35.970497131347656,43.68159484863281,45.71855545043945,112.96112060546875,
2019-08-15,72.81112670898438,35.884342193603516,39.91847229003906,46.47779083251953,114.36090087890625,
2019-08-16,73.54268646240234,36.203121185302734,40.53126907348633,46.943695068359375,115.27073669433594,
2019-08-19,73.5509033203125,36.81483459472656,41.860450744628906,47.185272216796875,115.97937774658203,
2019-08-20,73.22210693359375,36.70282745361328,41.36848831176758,46.48642349243164,115.533203125,
2019-08-21,74.07697296142578,37.21977233886719,42.093482971191406,46.67622375488281,115.77816772460938,
2019-08-22,73.15635681152344,36.67698287963867,41.584251403808594,47.012718200683594,116.05811309814453,
2019-08-23,72.696044921875,36.68560028076172,40.22918701171875,46.365638732910156,113.96720123291016,
2019-08-26,72.76179504394531,36.84067916870117,40.65211486816406,47.05586242675781,117.00296783447266,
2019-08-27,73.46048736572266,37.00437545776367,40.38454818725586,47.211151123046875,117.89530181884766,
2019-08-28,73.1399154663086,37.06468963623047,40.45359420776367,47.547637939453125,118.27146911621094,
2019-08-29,73.16458129882812,36.96991729736328,40.798828125,47.495872497558594,118.99765014648438,
2019-08-30,74.06875610351562,37.00437545776367,40.40180587768555,47.48725128173828,119.6187515258789,
2019-09-03,73.87968444824219,38.25365447998047,40.134246826171875,47.71156311035156,120.25741577148438,
2019-09-04,73.32075500488281,38.53797149658203,40.841983795166016,48.1170654296875,121.73592376708984,
2019-09-05,73.59201049804688,38.58104705810547,41.79138946533203,47.5562629699707,119.78471374511719,
2019-09-06,73.7399673461914,38.70166778564453,42.15390396118164,47.65117645263672,121.00914764404297,
2019-09-09,73.6659927368164,37.72809600830078,41.92948913574219,47.038597106933594,120.15469360351562,
2019-09-10,72.77823638916016,37.529937744140625,42.47323989868164,46.9350700378418,119.67901611328125,
2019-09-11,73.0577163696289,37.50408935546875,43.18098831176758,47.25428771972656,120.11947631835938,
2019-09-12,73.55912780761719,37.73670959472656,43.09468460083008,47.547637939453125,120.93870544433594,
2019-09-13,71.50416564941406,37.65917205810547,43.18098831176758,47.156551361083984,120.18990325927734,
2019-09-16,70.80548095703125,37.564395904541016,43.12057113647461,46.89582061767578,118.81573486328125,
2019-09-17,71.12606048583984,38.16749572753906,42.6458625793457,47.1391716003418,119.5380630493164,
2019-09-18,70.9205551147461,38.26226806640625,42.58544921875,47.13046646118164,119.36190032958984,
2019-09-19,70.97810363769531,38.70166778564453,42.45598220825195,47.38251495361328,119.34428405761719,
2019-09-20,71.5699234008789,40.02848434448242,42.80986022949219,46.85237121582031,118.66597747802734,
2019-09-23,71.19181823730469,39.81309127807617,42.654502868652344,47.05225372314453,119.30904388427734,
2019-09-24,71.06028747558594,40.18356704711914,42.39557647705078,47.191314697265625,119.23857116699219,
2019-09-25,70.31230163574219,40.062950134277344,42.81848907470703,47.07833480834961,119.0007095336914,
2019-09-26,71.41374969482422,40.174949645996094,42.14527893066406,47.269535064697266,119.55570220947266,
2019-09-27,71.8411865234375,39.856170654296875,42.15390396118164,47.19999694824219,119.44998168945312,
2019-09-30,71.43019104003906,39.91648483276367,42.6458625793457,47.31298828125,120.7713394165039,
2019-10-01,70.7232894897461,38.92567825317383,41.204490661621094,47.49549102783203,121.00914764404297,
2019-10-02,69.33413696289062,38.124420166015625,40.186038970947266,46.13103103637695,117.98768615722656,
2019-10-03,70.02461242675781,38.48628234863281,40.92522430419922,46.791534423828125,121.50248718261719,
2019-10-04,70.6410903930664,39.13245391845703,41.32525634765625,47.399898529052734,123.57260131835938,
2019-10-07,70.8712387084961,38.93429183959961,41.54266357421875,46.817604064941406,121.86361694335938,
2019-10-08,70.13145446777344,38.76198196411133,40.342567443847656,46.565574645996094,120.89463806152344,
2019-10-09,70.43559265136719,38.73612976074219,40.73390579223633,46.78284454345703,121.4319839477539,
2019-10-10,70.63287353515625,38.63274383544922,40.133853912353516,46.635101318359375,121.4672622680664,
2019-10-11,71.18360137939453,38.727516174316406,40.49040603637695,46.32223129272461,121.24699401855469,
2019-10-14,70.63287353515625,38.67582321166992,40.04689407348633,46.32223129272461,121.07965087890625,
2019-10-15,71.26579284667969,39.25307846069336,40.31647491455078,46.504737854003906,120.09304809570312,
2019-10-16,71.51239013671875,39.40815734863281,40.69042205810547,46.48735427856445,120.17230987548828,
